survey_id,survey_time,survey_set,How many years have you been teaching?,What is your current awareness of the growth mindset?,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",Has this changed since your involvement with this course?,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Please indicate your gender,All of my students would improve their intelligence if they worked hard at it,Maths involves mostly facts and procedures that have to be learned,"There will always be some students who simply won't ""get it"" no matter what I do","In maths, answers are either right or wrong",Discussing students' errors with the class is a good strategy for enhancing students' understanding,Intelligence is something that people have a certain amount of and there isn't much they can do to change it,Some people have a knack for learning and some just don't,Students who finish their work quickly understand the material better than students who take longer,I can improve my skills but I can't change my basic level of ability,"In maths, you can be creative and discover things on your own",Effort should be a major consideration when grading students,Mathematical ability is something that remains relatively fixed throughout a person's life,"NA",There is usually only one way to solve a maths problem
1,post,about_you,<1 Year,Very aware,I don't know,"No, but I know there are plans to",Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,post,about_you,<1 Year,Very aware,Yes,"No, and there are no plans to",Lack of specific knowledge,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,post,about_you,>15 years,Very aware,Yes,Yes,Lack of specific knowledge,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,post,about_you,3-5 years,Very aware,I don't know,I don't know,Lack of specific knowledge,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,post,about_you,6-8 years,Very aware,"No, but I know there are plans to",Yes,Lack of specific knowledge,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,post,about_you,3-5 years,Very aware,Yes,Yes,Lack of specific knowledge,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,post,about_you,6-8 years,Very aware,"No, but I know there are plans to",I don't know,Lack of specific knowledge,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,post,about_you,12-15years,Very aware,Yes,Yes,Lack of specific knowledge,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,post,about_you,3-5 years,Very aware,Yes,Yes,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,post,about_you,6-8 years,Very aware,Yes,Yes,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,post,about_you,9-11 years,Very aware,I don't know,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,post,about_you,12-15years,Very aware,Yes,"No, and there are no plans to",Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,post,about_you,3-5 years,Aware,Yes,Yes,Time,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,post,about_you,6-8 years,Not very aware,I don't know,Yes,NA,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,post,about_you,6-8 years,Not very aware,I don't know,Yes,Lack of staff engagement,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,post,about_you,9-11 years,Aware,I don't know,Yes,Lack of staff engagement,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,post,about_you,9-11 years,Aware,I don't know,Yes,Time,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,post,about_you,12-15years,Not very aware,I don't know,I don't know,Time,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,post,about_you,12-15years,Not very aware,"No, but I know there are plans to",Yes,Lack of staff engagement,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,post,about_you,6-8 years,Aware,"No, and there are no plans to",Yes,Lack of staff engagement,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,post,about_you,12-15years,Aware,Yes,"No, and there are no plans to",Lack of staff engagement,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,post,about_you,>15 years,Aware,"No, but I know there are plans to","No, and there are no plans to",Time,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,post,about_you,9-11 years,Aware,I don't know,Yes,NA,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,post,about_you,9-11 years,Aware,I don't know,Yes,Lack of staff engagement,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,post,about_you,6-8 years,Aware,Yes,Yes,Time,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,post,about_you,12-15years,Not very aware,I don't know,Yes,NA,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,post,about_you,9-11 years,Aware,"No, but I know there are plans to",Yes,Lack of staff engagement,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,post,about_you,3-5 years,Not very aware,I don't know,Yes,Time,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,post,about_you,9-11 years,Not very aware,I don't know,Yes,Lack of staff engagement,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,NA
2,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Somewhat Agree
3,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree
4,post,your_beliefs,NA,NA,NA,NA,NA,NA,NA,Strongly Agree,NA,Disagree,NA,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,NA,Strongly Agree,NA,Somewhat Agree
5,post,your_beliefs,NA,NA,NA,NA,NA,NA,NA,Agree,NA,Strongly Disagree,NA,Agree,Disagree,Disagree,Disagree,Strongly Disagree,NA,Agree,NA,Somewhat Agree
6,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree
7,post,your_beliefs,NA,NA,NA,NA,NA,NA,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree
8,post,your_beliefs,NA,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Agree,Disagree,Somewhat Disagree
9,post,your_beliefs,NA,NA,NA,NA,NA,NA,Somewhat Disagree,Agree,Somewhat Disagree,Strongly Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Disagree
10,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Disagree
11,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Somewhat Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree
12,post,your_beliefs,NA,NA,NA,NA,NA,NA,Strongly Disagree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree
13,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree
14,post,your_beliefs,NA,NA,NA,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Somewhat Agree
15,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree
16,post,your_beliefs,NA,NA,NA,NA,NA,NA,Somewhat Disagree,Agree,Strongly Disagree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Agree,Disagree,Somewhat Disagree
17,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat Agree
18,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Somewhat Disagree
19,post,your_beliefs,NA,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Disagree,Somewhat Disagree
20,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree
21,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat Agree
22,post,your_beliefs,NA,NA,NA,NA,NA,NA,Strongly Disagree,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree
23,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree
23,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree
24,post,your_beliefs,NA,NA,NA,NA,NA,NA,Strongly Disagree,Agree,Strongly Disagree,Somewhat Agree,Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Agree
25,post,your_beliefs,NA,NA,NA,NA,NA,NA,Strongly Disagree,Agree,Disagree,Somewhat Disagree,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Somewhat Disagree
26,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Somewhat Disagree
27,post,your_beliefs,NA,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Somewhat Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree
28,post,your_beliefs,NA,NA,NA,NA,NA,NA,Somewhat Disagree,Agree,Disagree,Strongly Disagree,Somewhat Disagree,Agree,Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Somewhat Disagree,Disagree
29,post,your_beliefs,NA,NA,NA,NA,NA,NA,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Somewhat Disagree
