survey_id,survey_time,survey_set,question,answer,value
1,pre,about_you,Please indicate your gender,Male,1
1,pre,about_you,How many years have you been teaching?,<1 Year,1
1,pre,about_you,What is your current awareness of the growth mindset?,Very aware,1
1,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",I don't know,1
1,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Lack of specific knowledge,1
2,pre,about_you,Please indicate your gender,Female,1
2,pre,about_you,How many years have you been teaching?,<1 Year,1
2,pre,about_you,What is your current awareness of the growth mindset?,Aware,1
2,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",Yes,1
2,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Lack of specific knowledge,1
3,pre,about_you,Please indicate your gender,Female,1
3,pre,about_you,How many years have you been teaching?,>15 years,1
3,pre,about_you,What is your current awareness of the growth mindset?,Aware,1
3,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",I don't know,1
3,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Lack of specific knowledge,1
4,pre,about_you,Please indicate your gender,Female,1
4,pre,about_you,How many years have you been teaching?,3-5 years,1
4,pre,about_you,What is your current awareness of the growth mindset?,Not very aware,1
4,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",I don't know,1
4,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Lack of specific knowledge,1
5,pre,about_you,Please indicate your gender,Female,1
5,pre,about_you,How many years have you been teaching?,6-8 years,1
5,pre,about_you,What is your current awareness of the growth mindset?,Not very aware,1
5,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",I don't know,1
5,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Lack of specific knowledge,1
6,pre,about_you,Please indicate your gender,Female,1
6,pre,about_you,How many years have you been teaching?,3-5 years,1
6,pre,about_you,What is your current awareness of the growth mindset?,Not very aware,1
6,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",I don't know,1
6,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Lack of specific knowledge,1
7,pre,about_you,Please indicate your gender,Female,1
7,pre,about_you,How many years have you been teaching?,6-8 years,1
7,pre,about_you,What is your current awareness of the growth mindset?,Not very aware,1
7,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",I don't know,1
7,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Not a school priority,1
8,pre,about_you,Please indicate your gender,Female,1
8,pre,about_you,How many years have you been teaching?,12-15years,1
8,pre,about_you,What is your current awareness of the growth mindset?,Not very aware,1
8,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",I don't know,1
8,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Time,1
9,pre,about_you,Please indicate your gender,Female,1
9,pre,about_you,How many years have you been teaching?,3-5 years,1
9,pre,about_you,What is your current awareness of the growth mindset?,Not at all aware,1
9,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",I don't know,1
9,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Lack of specific knowledge,1
10,pre,about_you,Please indicate your gender,Female,1
10,pre,about_you,How many years have you been teaching?,6-8 years,1
10,pre,about_you,What is your current awareness of the growth mindset?,Not very aware,1
10,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?","No, but I know there are plans to",1
10,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Time,1
11,pre,about_you,Please indicate your gender,Female,1
11,pre,about_you,How many years have you been teaching?,9-11 years,1
11,pre,about_you,What is your current awareness of the growth mindset?,Not very aware,1
11,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",I don't know,1
11,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Lack of specific knowledge,1
12,pre,about_you,Please indicate your gender,Female,1
12,pre,about_you,How many years have you been teaching?,12-15years,1
12,pre,about_you,What is your current awareness of the growth mindset?,Not at all aware,1
12,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",Yes,1
12,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Nothing,1
13,pre,about_you,Please indicate your gender,Female,1
13,pre,about_you,How many years have you been teaching?,3-5 years,1
13,pre,about_you,What is your current awareness of the growth mindset?,Aware,1
13,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",Yes,1
13,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Lack of confidence,1
14,pre,about_you,Please indicate your gender,Female,1
14,pre,about_you,How many years have you been teaching?,6-8 years,1
14,pre,about_you,What is your current awareness of the growth mindset?,Not very aware,1
14,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",I don't know,1
14,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Time,1
15,pre,about_you,Please indicate your gender,Female,1
15,pre,about_you,How many years have you been teaching?,6-8 years,1
15,pre,about_you,What is your current awareness of the growth mindset?,Not very aware,1
15,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",I don't know,1
15,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Lack of specific knowledge,1
16,pre,about_you,Please indicate your gender,Female,1
16,pre,about_you,How many years have you been teaching?,9-11 years,1
16,pre,about_you,What is your current awareness of the growth mindset?,Aware,1
16,pre,about_you,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",I don't know,1
16,pre,about_you,What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,Lack of specific knowledge,1
17,pre,about_you,Please indicate your gender,Female,1
17,pre,about_you,How many years have you been teaching?,9-11 years,1
17,pre,about_you,What is your current awareness of the growth mindset?,Aware,1
