survey_id,survey_time,survey_set,Please indicate your gender,How many years have you been teaching?,What is your current awareness of the growth mindset?,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,All of my students would improve their intelligence if they worked hard at it,Maths involves mostly facts and procedures that have to be learned,"There will always be some students who simply won't ""get it"" no matter what I do","In maths, answers are either right or wrong",Discussing students' errors with the class is a good strategy for enhancing students' understanding,Intelligence is something that people have a certain amount of and there isn't much they can do to change it,Some people have a knack for learning and some just don't,Students who finish their work quickly understand the material better than students who take longer,I can improve my skills but I can't change my basic level of ability,"In maths, you can be creative and discover things on your own",Effort should be a major consideration when grading students,Mathematical ability is something that remains relatively fixed throughout a person's life,"NA",There is usually only one way to solve a maths problem,Has this changed since your involvement with this course?,value_Please indicate your gender,value_How many years have you been teaching?,value_What is your current awareness of the growth mindset?,"value_From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",value_What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,value_All of my students would improve their intelligence if they worked hard at it,value_Maths involves mostly facts and procedures that have to be learned,"value_There will always be some students who simply won't ""get it"" no matter what I do","value_In maths, answers are either right or wrong",value_Discussing students' errors with the class is a good strategy for enhancing students' understanding,value_Intelligence is something that people have a certain amount of and there isn't much they can do to change it,value_Some people have a knack for learning and some just don't,value_Students who finish their work quickly understand the material better than students who take longer,value_I can improve my skills but I can't change my basic level of ability,"value_In maths, you can be creative and discover things on your own",value_Effort should be a major consideration when grading students,value_Mathematical ability is something that remains relatively fixed throughout a person's life,value_NA,value_There is usually only one way to solve a maths problem,value_Has this changed since your involvement with this course?
1,pre,your_beliefs,NA,NA,NA,NA,NA,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
2,pre,your_beliefs,NA,NA,NA,NA,NA,Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
3,pre,your_beliefs,NA,NA,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
4,pre,your_beliefs,NA,NA,NA,NA,NA,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
4,pre,your_beliefs,NA,NA,NA,NA,NA,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Disagree,Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
4,pre,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
4,pre,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
4,pre,your_beliefs,NA,NA,NA,NA,NA,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
4,pre,your_beliefs,NA,NA,NA,NA,NA,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
5,pre,your_beliefs,NA,NA,NA,NA,NA,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
